index,Rent,SurfaceArea,RoomsNumber,Address,RentPerArea,RentPerRoom,AreaPerRoom,ZipCode,City
126,4510.0,136.0,3.0,"Baslerstrasse 77, 8048 Zurich",33.161764705882355,1503.3333333333333,45.333333333333336,77,Zurich
127,7210.0,180.0,4.5,"Pfingstweidstrasse 98, 8005 Zurich",40.05555555555556,1602.2222222222222,40.0,98,Zurich
128,2800.0,49.0,3.5,"Müllerstrasse 76, 8004 Zurich",57.142857142857146,800.0,14.0,76,Zurich
129,3690.0,167.0,4.5,"Hüttisstr. 8, 8050 Zurich",22.095808383233532,820.0,37.111111111111114,8,Zurich
130,4670.0,115.0,4.5,"Steinstrasse 25, 8003 Zurich",40.608695652173914,1037.7777777777778,25.555555555555557,25,Zurich
131,3350.0,127.0,4.5,"Felsenrainstrasse 27, 8052 Zurich",26.37795275590551,744.4444444444445,28.22222222222222,27,Zurich
132,4110.0,129.0,4.5,"Dörflistrasse 115, 8050 Zurich",31.86046511627907,913.3333333333334,28.666666666666668,115,Zurich
133,3740.0,113.0,4.5,"Dörflistrasse 115, 8050 Zurich",33.097345132743364,831.1111111111111,25.11111111111111,115,Zurich
134,7380.0,175.0,7.5,"Bolleystrasse 15, 8006 Zurich",42.17142857142857,984.0,23.333333333333332,15,Zurich
135,3620.0,163.0,5.0,"Dorfbachweg 5, 8049 Zurich",22.208588957055216,724.0,32.6,5,Zurich
136,4990.0,160.0,6.5,"Allmannstrasse 55, 8052 Zurich",31.1875,767.6923076923077,24.615384615384617,55,Zurich
137,5390.0,148.0,6.5,"Rütschistrasse 16, 8037 Zurich",36.41891891891892,829.2307692307693,22.76923076923077,16,Zurich
138,6150.0,140.0,7.5,"Allmannstrasse 55, 8052 Zurich, 8052 Zurich",43.92857142857143,820.0,18.666666666666668,Zurich,Zurich
139,3290.0,101.0,4.5,"Allmannstrasse 55, 8052 Zurich, 8052 Zurich",32.57425742574257,731.1111111111111,22.444444444444443,Zurich,Zurich
140,5520.0,98.0,4.5,"Rotachstrasse 20, 8003 Zurich",56.326530612244895,1226.6666666666667,21.77777777777778,20,Zurich
141,5520.0,117.0,4.5,"Kalkbreitestrasse 41, 8003 Zurich",47.17948717948718,1226.6666666666667,26.0,41,Zurich
142,4240.0,125.0,4.5,"Eggbühlstrasse 22, 8050 Zurich",33.92,942.2222222222222,27.77777777777778,22,Zurich
143,3870.0,99.0,3.0,"Langstrasse 13, 8004 Zurich",39.09090909090909,1290.0,33.0,13,Zurich
