price,size,rooms,address
" CHF 7,820.– / month",,126m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 6,270.– / month",153m² living space ,5 rooms ,"Hardstrasse 236/238, 8005 Zurich"
" CHF 4,750.– / month",,153m² living space ,"Hardstrasse 236/238, 8005 Zurich"
" CHF 7,040.– / month",103m² living space ,3 rooms ,"Cramerstrasse 8-12, 8004 Zurich"
" CHF 5,210.– / month",,96m² living space ,"Waffenplatzstrasse 72, 8002 Zurich"
" CHF 4,000.– / month",,4.5 rooms ,"Schindlerstrasse 5, 8006 Zürich"
" CHF 5,190.– / month",143m² living space ,4.5 rooms ,"Seestrasse 25, 8002 Zürich"
" CHF 3,860.– / month",134m² living space ,5.5 rooms ,"Müllerstrasse 35, 8004 Zürich"
" CHF 5,840.– / month",140m² living space ,5 rooms ,"Fritz-Fleiner-Weg, 8044 Zürich"
" CHF 2,520.– / month",77m² living space ,3.5 rooms ,"Witikonerstrasse 54, 8032 Zürich"
" CHF 4,200.– / month",84m² living space ,4.5 rooms ,"Berninastrasse 58, 8057 Zürich"
" CHF 4,660.– / month",160m² living space ,7.5 rooms ,"Im oberen Boden 19, 8049 Zürich"
" CHF 3,260.– / month",134m² living space ,5 rooms ,"Farenweg 6, 8038 Zürich"
" CHF 3,030.– / month",,3 rooms ,"Rieterstrasse 87, 8002 Zurigo"
" CHF 2,790.– / month",107m² living space ,4.5 rooms ,"Im Struppen 5, 8048 Zürich"
" CHF 6,020.– / month",181m² living space ,7.5 rooms ,"Clausiusstrasse 62, 8006 Zürich"
" CHF 4,900.– / month",172m² living space ,5.5 rooms ,"Wibichstrasse 88, 8037 Zürich"
" CHF 2,860.– / month",59m² living space ,3.5 rooms ,"Feldstrasse 55, 8004 Zürich"
" CHF 3,070.– / month",162m² living space ,5.5 rooms ,"Albisstrasse 10, 8038 Zürich"
" CHF 8,910.– / month",180m² living space ,5.5 rooms ,"Pfingstweidstrasse 98, 8005 Zürich"
" CHF 1,510.– / month",18m² living space ,2 rooms ,"Felsenrainstrasse, 8052 Zürich"
" CHF 1,610.– / month",25m² living space ,2 rooms ,"Bockhornstrasse, 8047 Zürich"
" CHF 1,560.– / month",,2 rooms ,"Rieterstrasse 87, 8002 Zürich"
" CHF 4,300.– / month",172m² living space ,6 rooms ,"Hammerstrasse 40, 8008 Zürich"
" CHF 5,950.– / month",140m² living space ,5.5 rooms ,"Mutschellenstrasse 144, 8038 Zurich"
" CHF 5,920.– / month",140m² living space ,6 rooms ,"Flühgasse 35, 8008 Zürich"
" CHF 4,150.– / month",126m² living space ,4.5 rooms ,"Winzerstrasse 103, 8049 Zürich"
" CHF 3,870.– / month",,3 rooms ,"Scheuchzerstrasse 66, 8006 Zürich"
" CHF 5,690.– / month",187m² living space ,5.5 rooms ,"Scheuchzerstrasse 66, 8006 Zürich"
" CHF 4,600.– / month",132m² living space ,4.5 rooms ,"Scheuchzerstrasse 66, 8006 Zürich"
" CHF 3,160.– / month",82m² living space ,2 rooms ,"Scheuchzerstrasse 66, 8006 Zürich"
" CHF 3,570.– / month",,4.5 rooms ,"Florastrasse 49, 8008 Zürich"
" CHF 3,150.– / month",166m² living space ,6 rooms ,"In der Wässeri 4, 8047 Zürich"
" CHF 2,460.– / month",63m² living space ,3.5 rooms ,"Zähringerstrasse 29, 8001 Zürich"
" CHF 5,330.– / month",153m² living space ,5.5 rooms ,"Nordstrasse 7, 8006 Zurigo"
" CHF 2,060.– / month",134m² living space ,5.5 rooms ,"Birmensdorferstrasse 38, 8004 Zürich"
" CHF 6,230.– / month",170m² living space ,5.5 rooms ,"Schärenmoosstrasse 76, 8052 Zürich"
" CHF 1,910.– / month",,3.5 rooms ,"Wydäckerring 74, 8047 Zürich"
" CHF 4,600.– / month",109m² living space ,4.5 rooms ,"Im Heuried 70, 8055 Zürich"
" CHF 2,320.– / month",,2 rooms ,"Gubelstrasse 60, 8050 Zürich"
" CHF 2,150.– / month",115m² living space ,5 rooms ,"Apfelbaumstrasse 2, 8050 Zürich"
" CHF 2,790.– / month",96m² living space ,3 rooms ,"Im Brächli 17, 8053 Zürich"
" CHF 1,880.– / month",44m² living space ,2 rooms ,"Ekkehardstrasse 32, 8006 Zürich"
" CHF 3,780.– / month",143m² living space ,3.5 rooms ,"Spinnereiplatz 1, 8041 Zürich"
" CHF 3,150.– / month",82m² living space ,3.5 rooms ,"Turbinenstrasse 46, 8005 Zürich"
" CHF 2,470.– / month",103m² living space ,3 rooms ,"Möhrlistrasse 103, 8006 Zürich"
" CHF 2,940.– / month",,3.5 rooms ,"Waffenplatzstr. 66, 8002 Zürich"
" CHF 1,930.– / month",240m² living space ,10.5 rooms ,"Stiglenstrasse 12, 8052 Zürich"
" CHF 1,060.– / month",18m² living space ,2 rooms ,"Sonneggstrasse 77, 8006 Zürich"
" CHF 7,160.– / month",140m² living space ,7.5 rooms ,"Scheuchzerstrasse 77, 8006 Zürich"
" CHF 2,110.– / month",,2 rooms ,"Hopfenstrasse 17, 8045 Zürich"
" CHF 4,970.– / month",172m² living space ,5.5 rooms ,"Zollikerstrasse 243, 8008 Zürich"
" CHF 3,110.– / month",156m² living space ,6 rooms ,"Loorenstrasse 18, 8053 Zürich"
" CHF 3,650.– / month",168m² living space ,5.5 rooms ,"Michelstrasse 15, 8049 Zürich"
" CHF 4,580.– / month",149m² living space ,5 rooms ,"Zürichbergstrasse 72, 8044 Zürich"
" CHF 3,630.– / month",94m² living space ,3 rooms ,"Scheffelstrasse 3, 8037 Zürich"
 Price on request ,,,"Waffenplatzstrasse 18, 8002 Zürich"
" CHF 3,810.– / month",166m² living space ,6 rooms ,"Forsterstrasse 66, 8044 Zürich"
" CHF 3,930.– / month",77m² living space ,3.5 rooms ,"Baumackerstrasse 8, 8050 Zürich"
" CHF 5,870.– / month",181m² living space ,5.5 rooms ,"Baumackerstrasse 8, 8050 Zürich"
" CHF 1,780.– / month",23m² living space ,2 rooms ,"Scheuchzerstrasse 160, 8057 Zürich"
" CHF 2,190.– / month",26m² living space ,2 rooms ,"Militärstrasse 12, 8004 Zürich"
" CHF 5,060.– / month",,46m² living space ,"Zweierstrasse 24, 8004 Zurich"
" CHF 4,440.– / month",,46m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 5,190.– / month",86m² living space ,2 rooms ,"Germaniastrasse 99, 8044 Zürich"
" CHF 3,530.– / month",113m² living space ,3.5 rooms ,"Beckenhofstrasse 6, 8006 Zürich"
" CHF 5,420.– / month",160m² living space ,7.5 rooms ,"Birmensdorferstrasse 93, 8003 Zürich"
" CHF 5,500.– / month",,84m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 5,650.– / month",,88m² living space ,"Bellariastrasse 36, 8002 Zurich"
" CHF 8,610.– / month",,111m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 9,230.– / month",,130m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 3,360.– / month",,23m² living space ,"Brandschenkestrasse 10, 8001 Zürich"
" CHF 4,000.– / month",71m² living space ,3 rooms ,"Binzmühlestrasse 51, 8050 Zürich"
" CHF 4,380.– / month",115m² living space ,3 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 3,260.– / month",39m² living space ,3.5 rooms ,"Dubsstrasse 30, 8003 Zürich"
" CHF 3,110.– / month",22m² living space ,2 rooms ,"Dubsstrasse 30, 8003 Zürich"
" CHF 3,110.– / month",39m² living space ,2 rooms ,"Morgartenstrasse 15, 8004 Zürich"
" CHF 3,410.– / month",28m² living space ,2 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 3,410.– / month",28m² living space ,2 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 3,410.– / month",40m² living space ,2 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 2,590.– / month",18m² living space ,2 rooms ,"Schaffhauserstrasse 137, 8057 Zürich"
" CHF 4,380.– / month",86m² living space ,3 rooms ,"Zelgstrasse 19, 8003 Zürich"
" CHF 3,630.– / month",48m² living space ,2 rooms ,"Langstrasse 213, 8005 Zürich"
" CHF 4,410.– / month",105m² living space ,4.5 rooms ,"Badenerstrasse 362, 8004 Zürich"
" CHF 5,320.– / month",134m² living space ,5.5 rooms ,"Zelgstrasse 19, 8003 Zürich"
" CHF 4,380.– / month",58m² living space ,3 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 4,750.– / month",143m² living space ,5 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 3,410.– / month",40m² living space ,2 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 4,900.– / month",77m² living space ,4.5 rooms ,"Langstrasse 213, 8005 Zürich"
" CHF 4,080.– / month",67m² living space ,3 rooms ,"Langstrasse 213, 8005 Zürich"
" CHF 3,260.– / month",58m² living space ,2 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 2,930.– / month",39m² living space ,2 rooms ,"Binzmühlestrasse 51, 8050 Zürich"
" CHF 3,110.– / month",39m² living space ,2 rooms ,"Dubsstrasse 30, 8003 Zürich"
" CHF 4,080.– / month",77m² living space ,3 rooms ,"Friesstrasse 16, 8050 Zürich"
" CHF 4,410.– / month",86m² living space ,3 rooms ,"Zelgstrasse 19, 8003 Zürich"
" CHF 3,110.– / month",58m² living space ,2 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 4,080.– / month",77m² living space ,3 rooms ,"Friesstrasse 16, 8050 Zürich"
" CHF 3,110.– / month",26m² living space ,2 rooms ,"Badenerstrasse 362, 8004 Zürich"
" CHF 3,410.– / month",25m² living space ,2 rooms ,"Universitätsstrasse 80/82, 8006 Zürich"
" CHF 3,260.– / month",39m² living space ,2 rooms ,"Morgartenstrasse 15, 8004 Zürich"
" CHF 3,190.– / month",67m² living space ,3.5 rooms ,"Gubelstrasse 64, 8050 Zürich"
" CHF 3,240.– / month",48m² living space ,3.5 rooms ,"Friesstrasse 33, 8050 Zürich"
" CHF 3,240.– / month",48m² living space ,3.5 rooms ,"Friesstrasse 33, 8050 Zürich"
" CHF 3,260.– / month",50m² living space ,3.5 rooms ,"Friesstrasse 16, 8050 Zürich"
" CHF 3,930.– / month",77m² living space ,3 rooms ,"Friesstrasse 8, 8050 Zürich"
" CHF 2,650.– / month",22m² living space ,2 rooms ,"Friesstrasse 8, 8050 Zürich"
" CHF 2,790.– / month",39m² living space ,3.5 rooms ,"Friesstrasse 8, 8050 Zürich"
" CHF 3,680.– / month",39m² living space ,2 rooms ,"Binzmühlestrasse 51, 8050 Zürich"
" CHF 3,560.– / month",58m² living space ,2 rooms ,"Binzmühlestrasse 51, 8050 Zürich"
" CHF 3,340.– / month",48m² living space ,2 rooms ,"Binzmühlestrasse 51, 8050 Zürich"
" CHF 3,110.– / month",39m² living space ,2 rooms ,"Asylstrasse 125, 8032 Zürich"
" CHF 3,110.– / month",42m² living space ,2 rooms ,"Asylstrasse 125, 8032 Zürich"
" CHF 4,600.– / month",,75m² living space ,"Binzmühlestr. 50, 8050 Zurich"
" CHF 4,900.– / month",,65m² living space ,"Binzmühlestr. 50, 8050 Zurich"
" CHF 5,980.– / month",71m² living space ,3 rooms ,"Cramerstrasse 2-6, 8004 Zurich"
" CHF 4,080.– / month",124m² living space ,4.5 rooms ,"Döltschiweg, 8055 Zürich"
" CHF 3,140.– / month",151m² living space ,5.5 rooms ,"Zurlindenstrasse 1, 8003 Zürich"
" CHF 2,950.– / month",86m² living space ,4.5 rooms ,"Zurlindenstrasse 1, 8003 Zürich"
" CHF 3,100.– / month",115m² living space ,4.5 rooms ,"Hädrichstrasse 13, 8047 Zürich"
" CHF 3,410.– / month",115m² living space ,5 rooms ,"Hegibachstrasse, 8032 Zürich"
" CHF 3,980.– / month",,6 rooms ,"Kurvenstrasse 40, 8006 Zürich"
" CHF 5,750.– / month",170m² living space ,7.5 rooms ,"Klebestrasse, 8041 Zurigo"
" CHF 4,150.– / month",134m² living space ,5.5 rooms ,"Bederstrasse, 8002 Zürich"
" CHF 1,850.– / month",,2 rooms ,"Scheffelstrasse, 8037 Zürich"
" CHF 5,470.– / month",175m² living space ,5.5 rooms ,"Germaniastrasse, 8006 Zürich"
" CHF 3,720.– / month",101m² living space ,5.5 rooms ,"Spitalgasse, 8001 Zürich"
 CHF 740.– / week,134m² living space ,5 rooms ,"Kornhausstrasse, 8006 Zürich"
" CHF 4,270.– / month",143m² living space ,5.5 rooms ,"Turnerstrasse 4, 8006 Zürich"
" CHF 7,350.– / month",140m² living space ,4.5 rooms ,"Josefstrasse, 8005 Zürich"
" CHF 5,840.– / month",140m² living space ,5.5 rooms ,"Fritz-Fleiner-Weg, 8044 Zürich"
" CHF 1,780.– / month",39m² living space ,3.5 rooms ,"Burstwiesenstrasse 80, 8055 Zürich"
" CHF 3,260.– / month",153m² living space ,5 rooms ,"Dennlerstrasse, 8047 Zürich"
" CHF 12,370.– / month",290m² living space ,10.5 rooms ,"Sihlstrasse, 8001 Zurich"
" CHF 2,970.– / month",26m² living space ,3.5 rooms ,"Wartauweg, 8049 Zürich"
" CHF 2,670.– / month",107m² living space ,4.5 rooms ,"Am Wasser 97, 8049 Zürich"
" CHF 5,630.– / month",124m² living space ,4.5 rooms ,"Susenbergstrasse 177, 8044 Zürich"
" CHF 3,680.– / month",,3 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 4,130.– / month",,3 rooms ,"Friesstrasse 12, 8050 Zürich"
" CHF 2,930.– / month",22m² living space ,2 rooms ,"Asylstrasse 125, 8032 Zürich"
" CHF 2,450.– / month",18m² living space ,2 rooms ,"Badenerstrasse 362, 8004 Zürich"
" CHF 2,150.– / month",15m² living space ,2 rooms ,"Badenerstrasse 362, 8004 Zürich"
" CHF 4,130.– / month",,40m² living space ,"Militärstrasse 24, 8004 Zurich"
" CHF 5,830.– / month",156m² living space ,4.5 rooms ,"Forchstrasse 84, 8008 Zürich"
" CHF 4,580.– / month",149m² living space ,5.5 rooms ,"Zürichbergstrasse 72, 8044 Zürich"
" CHF 2,520.– / month",65m² living space ,2 rooms ,"Breitingerstrasse 35, 8002 Zürich"
" CHF 1,930.– / month",,240m² living space ,"Stiglenstrasse 12, 8052 Zürich"
" CHF 5,910.– / month",183m² living space ,5.5 rooms ,"Arbenzstrasse, 8008 Zürich"
" CHF 4,080.– / month",143m² living space ,4.5 rooms ,"Badenerstrasse 843, 8005 Zürich"
" CHF 8,160.– / month",172m² living space ,5 rooms ,"Bellerivestrasse, 8008 Zürich"
" CHF 1,460.– / month",,39m² living space ,"Kreis 6, 8006 Zürich"
" CHF 3,720.– / month",134m² living space ,4.5 rooms ,"Glattalstrasse 37, 8052 Zürich"
" CHF 4,750.– / month",,5.5 rooms ,"Restelbergstrasse 18, 8044 Zürich"
 CHF 630.– / month,140m² living space ,2 rooms ,"Meinrad-Lienert-Strasse 23, 8003 Zürich"
" CHF 2,670.– / month",58m² living space ,3.5 rooms ,"Badenerstrasse 414, 8004 Zürich"
 Price on request ,140m² living space ,5.5 rooms ,"Binzallee 9, 8055 Zürich"
 Price on request ,128m² living space ,4.5 rooms ,"Binzallee 7, 8055 Zürich"
 Price on request ,140m² living space ,5.5 rooms ,"Binzallee 9, 8055 Zürich"
 Price on request ,200m² living space ,8.5 rooms ,"Binzallee 9, 8055 Zürich"
 Price on request ,180m² living space ,7.5 rooms ,"Binzallee 9, 8055 Zürich"
" CHF 4,130.– / month",,5.5 rooms ,"Franklinstrasse 31, 8050 Zürich"
" CHF 2,890.– / month",115m² living space ,3 rooms ,"Albulastrasse 52, 8048 Zürich"
" CHF 4,440.– / month",140m² living space ,4.5 rooms ,"Forchstrasse 331, 8008 Zürich"
" CHF 2,370.– / month",,26m² living space ,"Seebahnstrasse 123, 8003 Zürich"
" CHF 3,260.– / month",130m² living space ,4.5 rooms ,"Kreis 4, 8004 Zürich"
" CHF 3,600.– / month",143m² living space ,4.5 rooms ,"Guggerweg 3, 8057 Zürich"
" CHF 2,720.– / month",122m² living space ,3 rooms ,"Langgrütstrasse 54, 8047 Zürich"
" CHF 6,310.– / month",183m² living space ,7.5 rooms ,"Rötelstrasse 11, 8006 Zürich"
" CHF 1,630.– / month",,18m² living space ,"Imbisbühlstr. 146, 8049 Zürich"
" CHF 1,640.– / month",,2 rooms ,"Universitätstrasse 81, 8006 Zürich"
" CHF 8,760.– / month",140m² living space ,5.5 rooms ,8004 Zürich
" CHF 4,300.– / month",160m² living space ,5.5 rooms ,"Käferholzstrasse 30, 8057 Zürich"
" CHF 1,480.– / month",,25m² living space ,"Ueberlandstrasse 287, 8051 Zürich"
" CHF 4,090.– / month",143m² living space ,4.5 rooms ,"In der Ey 29, 8047 Zürich"
" CHF 6,470.– / month",210m² living space ,7.5 rooms ,"Frauentalweg 102, 8045 Zürich"
" CHF 5,010.– / month",,5.5 rooms ,"Schaffhauserstrasse 81, 8057 Zürich"
" CHF 2,740.– / month",69m² living space ,3 rooms ,"Elisabethenstrasse 10-14, 8004 Zürich"
" CHF 5,010.– / month",,5.5 rooms ,8057 Zurich
" CHF 2,670.– / month",61m² living space ,3.5 rooms ,8057 Zürich
" CHF 3,780.– / month",,5.5 rooms ,8004 Zürich
" CHF 5,340.– / month",170m² living space ,7.5 rooms ,"Klebestrasse, 8041 Zürich"
" CHF 3,110.– / month",134m² living space ,5.5 rooms ,"Limmatstrasse, 8005 Zürich"
" CHF 5,620.– / month",143m² living space ,5.5 rooms ,8032 Zurich
" CHF 4,830.– / month",162m² living space ,5.5 rooms ,"Baurstrasse, 8008 Zürich"
" CHF 2,770.– / month",134m² living space ,5 rooms ,"heinrich-federer-strasse, 8038 Zürich"
" CHF 1,460.– / month",26m² living space ,2 rooms ,"Gubelstrasse, 8050 Zürich"
" CHF 2,820.– / month",,4.5 rooms ,"Bodenacker, 8046 Zürich"
" CHF 1,700.– / month",,2 rooms ,"471 Hohlstrasse 8048, 8048 Zürich"
" CHF 4,080.– / month",134m² living space ,4.5 rooms ,"Zurlindenstrasse 120, 8003 Zürich"
" CHF 5,840.– / month",140m² living space ,5.5 rooms ,"Zürichberg, 8044 Zürich"
" CHF 1,780.– / month",,,"Bucheggstrasse, 8037 Zürich"
" CHF 3,710.– / month",153m² living space ,5.5 rooms ,"Ausstellungsstrasse, 8005 Zürich"
" CHF 3,980.– / month",160m² living space ,3.5 rooms ,8008 Zürich
" CHF 3,560.– / month",120m² living space ,5 rooms ,"Müllerstrasse, 8004 Zürich"
" CHF 3,710.– / month",179m² living space ,7.5 rooms ,"Herrligstrasse, 8048 Zürich"
" CHF 4,750.– / month",,5.5 rooms ,"Rotachstrasse, 8003 Zürich"
" CHF 4,440.– / month",172m² living space ,4.5 rooms ,"Gräbligasse, 8001 Zürich"
" CHF 2,070.– / month",153m² living space ,4.5 rooms ,"sihlhallenstrasse, 8004 Zürich"
" CHF 4,430.– / month",115m² living space ,4.5 rooms ,"Limmatquai, 8001 Zürich"
" CHF 5,120.– / month",140m² living space ,5.5 rooms ,"Flurstrasse close to Hohlstrasse, 8048 Zürich"
" CHF 4,600.– / month",140m² living space ,6 rooms ,8032 Zürich
" CHF 3,240.– / month",88m² living space ,3 rooms ,8001 Zürich
" CHF 2,370.– ",96m² living space ,4.5 rooms ,8055 Zürich
" CHF 2,820.– ",140m² living space ,7.5 rooms ,8049 Zürich
" CHF 4,230.– ",134m² living space ,4.5 rooms ,8038 Zürich
" CHF 5,790.– ",160m² living space ,5.5 rooms ,8008 Zürich
" CHF 4,610.– ",140m² living space ,7.5 rooms ,8004 Zürich
" CHF 4,600.– ",140m² living space ,7.5 rooms ,8004 Zürich
" CHF 6,170.– ",190m² living space ,8.5 rooms ,8032 Zürich
" CHF 4,900.– ",134m² living space ,5 rooms ,8004 Zürich
" CHF 3,860.– / month",160m² living space ,8.5 rooms ,8048 Zürich
" CHF 1,330.– / month",,,"Wehntalerstrasse 566, 8046 Zürich"
" CHF 1,270.– / month",,,"8051, 8051 Zürich"
" CHF 13,360.– / month",280m² living space ,11.5 rooms ,8044 Zürich
" CHF 3,710.– / month",124m² living space ,4.5 rooms ,"Tramstrasse, 8050 Zürich"
" CHF 1,180.– / month",58m² living space ,2 rooms ,"idastrasse, 8003 Zürich"
" CHF 1,420.– / month",,15m² living space ,"Ackersteinstrasse, 8049 Zürich"
" CHF 1,630.– / month",,,"Oerlikon, 8050 Zürich"
" CHF 5,890.– / month",170m² living space ,7.5 rooms ,8049 Zürich
" CHF 3,340.– / month",128m² living space ,4.5 rooms ,8052 Zürich
" CHF 3,710.– / month",134m² living space ,4.5 rooms ,8053 Zürich
" CHF 1,630.– / month",,22m² living space ,"mirabellenstrasse 4, 8048 Zürich"
" CHF 1,330.– / month",,,8050 Zürich
" CHF 4,150.– / month",172m² living space ,5.5 rooms ,8055 Zürich
" CHF 4,300.– / month",160m² living space ,7.5 rooms ,8004 Zürich
" CHF 3,520.– / month",124m² living space ,5 rooms ,"Birmensdorferstrasse, 8055 Zürich"
" CHF 1,410.– / month",,,8045 Zürich
" CHF 1,480.– / month",,39m² living space ,"Ueberlandstrasse, 8051 Zürich"
 CHF 170.– / month,,,8004 Zürich
" CHF 1,180.– / month",,,8046 Zürich
" CHF 3,460.– / month",,137m² living space ,"Schauenbergstrasse 30, 8046 Zürich"
" CHF 5,160.– / month",160m² living space ,5.5 rooms ,"Schauenbergstrasse 32, 8046 Zürich"
" CHF 2,810.– / month",,5 rooms ,8055 Zürich
