price,size,rooms,address
" CHF 3,340.– / month",124m² living space ,4.5 rooms ,"Felsenrainstrasse 27, 8052 Zürich"
" CHF 4,090.– / month",126m² living space ,4.5 rooms ,"Dörflistrasse 115, 8050 Zürich"
" CHF 3,720.– / month",111m² living space ,4.5 rooms ,"Dörflistrasse 115, 8050 Zürich"
" CHF 7,350.– / month",172m² living space ,7.5 rooms ,"Bolleystrasse 15, 8006 Zürich"
" CHF 3,610.– / month",160m² living space ,5 rooms ,"Dorfbachweg 5, 8049 Zürich"
" CHF 4,970.– / month",156m² living space ,5.5 rooms ,"Allmannstrasse 55, 8052 Zürich"
" CHF 5,370.– / month",145m² living space ,5.5 rooms ,"Rütschistrasse 16, 8037 Zürich"
" CHF 6,120.– / month",140m² living space ,7.5 rooms ,"Allmannstrasse 55, 8052 Zürich, 8052 Zürich"
" CHF 3,280.– / month",99m² living space ,4.5 rooms ,"Allmannstrasse 55, 8052 Zürich, 8052 Zürich"
" CHF 5,500.– / month",96m² living space ,4.5 rooms ,"Rotachstrasse 20, 8003 Zürich"
" CHF 5,500.– / month",115m² living space ,4.5 rooms ,"Kalkbreitestrasse 41, 8003 Zürich"
" CHF 4,230.– / month",122m² living space ,4.5 rooms ,"Eggbühlstrasse 22, 8050 Zürich"
" CHF 3,860.– / month",97m² living space ,3 rooms ,"Langstrasse 13, 8004 Zürich"
" CHF 3,980.– / month",86m² living space ,4.5 rooms ,"Schwendenweg 6, 8003 Zürich"
" CHF 9,100.– / month",230m² living space ,7.5 rooms ,"Plattenstr. 34, 8032 Zürich"
" CHF 2,150.– / month",88m² living space ,3 rooms ,"Dennlerstr. 24, 8047 Zürich"
" CHF 1,900.– / month",75m² living space ,2 rooms ,"Schlossgasse 5, 8003 Zürich"
" CHF 3,980.– / month",97m² living space ,3 rooms ,"Schulhausstrasse 53, 8002 Zürich"
" CHF 2,260.– / month",54m² living space ,2 rooms ,"Aemtlerstr. 18, 8003 Zürich"
" CHF 3,260.– / month",103m² living space ,3 rooms ,"Forchstrasse 131, 8032 Zürich"
" CHF 3,270.– / month",156m² living space ,6 rooms ,"Eierbrechtstrasse 51 53 55, 8053 Zürich"
